customer_name,phone_number,email,address,state,purchase_date,gold_type,gold_quality,gold_weight,price_per_gram,total_amount,discount_percentage,discount_amount,final_amount,payment_mode,notes
Chirag Mani,+918171830994,sgrover@example.com,"H.No. 498, Bhandari Road, Ichalkaranji-468186",Tamil Nadu,2024-05-20,22K,Standard,713.983,6582.48,4699778.82,0.45,21149.0,4678629.82,Card,
Badal Aurora,+917119843339,rjoshi@example.org,"H.No. 48, Sharma Nagar, Guntur 033444",Delhi,2023-11-14,24K,Pure,638.08,5233.05,3339104.54,2.31,77133.31,3261971.23,Cash,Sapiente quisquam facere voluptates laudantium possimus consequuntur tenetur.
Drishya Balasubramanian,2396825860,lankaanvi@example.net,"H.No. 151, Varkey Street, Ludhiana-653907",Maharashtra,2023-11-18,24K,Standard,813.444,5549.26,4514012.25,0.98,44237.32,4469774.93,Bank Transfer,Optio reprehenderit ratione.
Emir Kala,4675646923,aaryahisarraf@example.org,"736, Devan Marg, Chinsurah 321352",Gujarat,2025-01-07,22K,Pure,311.423,6639.88,2067811.35,1.17,24193.39,2043617.96,Card,Voluptate impedit impedit.
Faiyaz Lall,9278072400,arorakiaan@example.com,"H.No. 03, Keer Chowk, Karaikudi-430861",Gujarat,2024-04-19,18K,Standard,505.385,6402.17,3235560.69,1.62,52416.08,3183144.61,Bank Transfer,
Divyansh Bhatt,3205903291,kanav14@example.com,"98/177, Rajagopal Zila, Srikakulam 601337",Karnataka,2024-03-17,22K,Pure,85.609,5574.78,477251.34,4.31,20569.53,456681.81,Bank Transfer,Dignissimos ipsa ad eaque quibusdam.
Urvi Srivastava,+915621002573,uchaudhuri@example.org,"H.No. 06, Contractor Path, Hosur 764074",Gujarat,2023-08-18,24K,Premium,106.554,5635.48,600482.94,4.51,27081.78,573401.16,Card,Placeat repellendus nulla error.
Arnav Bandi,+916543475899,kavya13@example.net,"256, Bahl Nagar, Mira-Bhayandar-530779",West Bengal,2024-03-05,24K,Standard,515.923,5678.02,2929421.11,3.12,91397.94,2838023.17,Bank Transfer,
Aaina Gokhale,05814275471,malhotragatik@example.net,"45/39, Khanna Ganj, Phusro-022082",Karnataka,2024-08-08,24K,Pure,511.456,6332.28,3238682.6,2.8,90683.11,3147999.49,Card,
Prisha Iyengar,0605281830,krishnamurthyojas@example.org,"H.No. 958, Korpal Marg, Bhatpara 663058",Telangana,2023-09-13,18K,Standard,811.862,6864.3,5572864.33,0.26,14489.45,5558374.88,Cash,
Riya Shenoy,06265278340,bansalneelofar@example.com,"H.No. 30, Vohra Circle, Orai 484879",Gujarat,2025-02-13,22K,Standard,891.466,5909.36,5267993.52,2.19,115369.06,5152624.46,Bank Transfer,Quos iste minima placeat porro alias.
Riaan Tak,1024926860,baijudevi@example.com,"H.No. 396, Bhattacharyya Path, Surendranagar Dudhrej-742781",Andhra Pradesh,2024-05-14,18K,Premium,425.766,5686.18,2420982.11,3.33,80618.7,2340363.41,Card,
Heer Kannan,4846849335,dharmajan34@example.org,"62/504, Dutta Zila, Sonipat-933092",Andhra Pradesh,2024-06-25,24K,Pure,446.015,5401.39,2409100.96,4.41,106241.35,2302859.61,UPI,
Samarth Garg,+916115048324,aravi@example.net,"672, Bhatnagar, Chandigarh 836138",Telangana,2023-12-08,18K,Standard,224.974,6345.65,1427606.26,0.93,13276.74,1414329.52,UPI,Aut at aperiam magnam molestias.
Shayak Sengupta,05294573198,jlall@example.com,"H.No. 53, Bakshi Street, Dewas-164002",Gujarat,2024-09-22,18K,Pure,846.949,6005.53,5086377.63,1.93,98167.09,4988210.54,Cash,
Tanya Dani,03320897034,nitya75@example.net,"957, Samra Circle, Sambalpur-964572",Maharashtra,2024-12-31,22K,Pure,800.665,6825.27,5464754.8,3.04,166128.55,5298626.25,Cash,
Misha Sharaf,+915774483074,riyachanda@example.org,"207, Sandal Chowk, Amroha-036797",Telangana,2023-11-16,22K,Pure,166.613,6200.68,1033113.9,2.22,22935.13,1010178.77,Card,
Jayan Sura,+917700935282,aarav34@example.com,"H.No. 70, Soni Ganj, Bharatpur-010123",Andhra Pradesh,2025-03-13,22K,Pure,119.502,5548.93,663108.23,1.79,11869.64,651238.59,Card,
Mamooty Wali,+914855938049,kondamohanlal@example.net,"H.No. 922, Chhabra Chowk, Bhubaneswar 050669",West Bengal,2025-02-11,24K,Pure,503.047,5422.41,2727727.08,1.08,29459.45,2698267.63,Bank Transfer,
Myra Sood,6668007504,nehmat04@example.com,"325, Karpe Road, Ramgarh-668033",Rajasthan,2025-02-25,24K,Premium,978.991,5035.9,4930100.78,4.06,200162.09,4729938.69,Cash,
Lakshay Vohra,5498265394,aradhya11@example.net,"H.No. 445, Zacharia Chowk, Navi Mumbai 835326",Karnataka,2025-02-09,18K,Standard,653.962,6204.13,4057265.26,1.38,55990.26,4001275.0,UPI,
Eshani Datta,8003846202,shlokmallick@example.com,"67, Doctor Marg, Chittoor-989461",West Bengal,2023-08-24,18K,Standard,500.541,6089.19,3047889.25,0.26,7924.51,3039964.74,Card,
Charvi Vig,05266036562,himmatbajwa@example.com,"36/257, Randhawa Ganj, Gorakhpur-485251",Maharashtra,2023-09-21,24K,Standard,659.592,5860.61,3865611.47,3.81,147279.8,3718331.67,Bank Transfer,In aspernatur ullam veritatis at.
Madhup Tak,6858952578,bgarg@example.net,"H.No. 069, Bhalla Ganj, Alwar 941077",Gujarat,2024-06-24,22K,Premium,501.771,5599.75,2809792.16,0.39,10958.19,2798833.97,Card,
Tiya Gandhi,1029006009,inaaya-85@example.org,"07/02, Karnik Chowk, Nellore 609232",West Bengal,2023-11-11,22K,Pure,356.449,5155.98,1837843.92,2.11,38778.51,1799065.41,Card,
Saanvi Ben,+915027529226,ramannavya@example.com,"35, Karnik Marg, Ambattur-377688",Gujarat,2023-12-27,22K,Premium,403.255,6107.1,2462718.61,3.33,82008.53,2380710.08,Cash,Earum eius praesentium soluta.
Khushi Sibal,07961772300,banerjeedivit@example.com,"03/08, Bhavsar Ganj, Sambalpur 408919",Rajasthan,2024-03-07,24K,Pure,878.158,6294.82,5527846.54,0.14,7738.99,5520107.55,Card,
Stuvan Gill,01930652882,hanshsarna@example.net,"06/163, Dhar Ganj, Hubli–Dharwad 539384",Kerala,2023-12-19,24K,Standard,386.383,5205.39,2011274.2,0.12,2413.53,2008860.67,Card,
Ishaan Sachdev,+912043028039,mangatsamaira@example.com,"47/68, Choudhury Nagar, Panipat-029733",Telangana,2023-11-27,22K,Pure,251.293,6816.83,1713021.66,0.09,1541.72,1711479.94,Card,Ducimus alias excepturi similique facere error quaerat.
Yashvi Bajaj,01653299212,ogoda@example.com,"11, Salvi, Dharmavaram-238240",Maharashtra,2023-11-09,24K,Pure,797.475,6877.74,5484825.71,4.85,266014.05,5218811.66,Bank Transfer,
Madhup Krishnamurthy,+911314579175,inaaya-mammen@example.com,"H.No. 29, Koshy Street, Shivpuri 191186",Telangana,2023-09-15,22K,Pure,869.004,5693.93,4948047.95,1.28,63335.01,4884712.94,Bank Transfer,
Aayush Vasa,+910161938572,vkumer@example.net,"67/11, Thaman Chowk, Delhi 072451",Maharashtra,2024-12-24,22K,Standard,626.778,6016.25,3770853.14,2.57,96910.93,3673942.21,Cash,Soluta non earum veritatis modi dicta.
Krish Seth,07993734049,sahanirvi@example.net,"H.No. 18, Dalal Path, Bellary 472307",Karnataka,2024-10-27,24K,Pure,660.151,6133.78,4049221.0,2.31,93537.01,3955683.99,Bank Transfer,Atque aliquam veniam quam.
Farhan Ganesh,0968863794,anahita25@example.net,"14/33, Ratti Nagar, Khammam-864629",Rajasthan,2024-12-16,22K,Premium,452.105,5334.75,2411867.15,4.31,103951.47,2307915.68,Cash,
Inaaya  Basu,2809460301,ibadami@example.com,"69, Keer, Rampur-871405",Delhi,2024-02-02,22K,Premium,26.767,6151.78,164664.7,0.2,329.33,164335.37,Bank Transfer,
Ivana Hora,+919430455415,wguha@example.net,"H.No. 929, Manda Chowk, Khandwa 793806",Karnataka,2024-12-29,22K,Pure,992.071,5169.15,5128163.81,2.94,150768.02,4977395.79,Cash,Labore quod eos magnam.
Nayantara Lala,06830682694,kiaan22@example.org,"456, Chandra Marg, Agra 410836",Delhi,2023-07-17,18K,Standard,375.415,5555.85,2085749.43,0.47,9803.02,2075946.41,Card,
Amira Raju,09145508252,drishya60@example.net,"H.No. 562, Thakkar Marg, Phusro-390430",Maharashtra,2023-07-28,24K,Pure,507.476,5418.13,2749570.94,0.59,16222.47,2733348.47,Bank Transfer,Nisi nisi odit.
Zeeshan Dara,2007041819,lgrover@example.net,"733, Bahl Circle, Miryalaguda 303523",Karnataka,2023-10-30,24K,Standard,661.85,5735.0,3795709.75,1.41,53519.51,3742190.24,Bank Transfer,
Lagan Dayal,3960000455,hazellal@example.org,"435, Shankar Road, Ramgarh 930418",Karnataka,2024-06-20,22K,Premium,579.146,5829.41,3376079.48,1.02,34436.01,3341643.47,Cash,
Biju Andra,+917180468252,thakershamik@example.net,"62, Sampath Circle, Danapur-627738",West Bengal,2024-09-01,18K,Standard,870.598,5162.24,4494235.82,2.51,112805.32,4381430.5,Bank Transfer,
Yashvi Tandon,+910334031251,sinhanitara@example.net,"30, Hayer Street, Latur-511083",Delhi,2023-11-15,18K,Premium,889.763,5345.1,4755872.21,2.99,142200.58,4613671.63,Bank Transfer,
Ivan Loyal,08272766556,vanyarajagopalan@example.org,"H.No. 21, Sama Nagar, Berhampur-541133",Maharashtra,2023-11-10,22K,Premium,833.681,6120.46,5102511.21,3.08,157157.35,4945353.86,Card,
Ishaan Tara,+911491687128,raunaksehgal@example.net,"77/494, Sama Circle, Giridih-771079",Delhi,2024-03-09,22K,Premium,1.78,5244.69,9335.55,2.4,224.05,9111.5,Cash,
Ela Joshi,+916979549493,sathevanya@example.com,"82/093, Kar Road, Kottayam-551666",West Bengal,2023-09-03,18K,Premium,802.805,5124.78,4114199.01,2.57,105734.91,4008464.1,Cash,
Shlok Tripathi,+918346751255,mvyas@example.net,"964, Bhargava Nagar, Tirunelveli 865532",Gujarat,2024-10-29,18K,Pure,56.712,6439.9,365219.61,4.5,16434.88,348784.73,Bank Transfer,Libero iusto nisi aperiam laudantium nulla.
Taimur Tailor,+912400607088,yogisana@example.com,"046, Barad Nagar, Erode-370458",Gujarat,2024-06-11,22K,Premium,242.861,6713.44,1630432.75,4.97,81032.51,1549400.24,Cash,Mollitia error voluptatibus soluta reiciendis.
Saanvi Magar,+917541554325,tailorzara@example.net,"19/59, Aggarwal Circle, Hubli–Dharwad-555655",Kerala,2024-07-14,24K,Standard,673.623,6104.24,4111956.46,2.98,122536.3,3989420.16,Cash,
Azad Madan,07562378767,ravaljhanvi@example.net,"44/51, Bansal Street, Latur 469824",Gujarat,2023-07-22,22K,Premium,293.874,5871.85,1725584.05,2.76,47626.12,1677957.93,UPI,
Ishita Gara,+919246422638,gdesai@example.net,"775, Bobal Ganj, Kottayam-638199",Rajasthan,2023-12-26,18K,Standard,386.412,6595.13,2548437.37,1.45,36952.34,2511485.03,Bank Transfer,Voluptatibus aperiam et reiciendis ex voluptates perspiciatis.
Reyansh Manne,9902252759,trisha62@example.org,"H.No. 64, D’Alia Marg, Ahmednagar 515411",Andhra Pradesh,2024-03-18,24K,Premium,638.451,5575.53,3559702.7,4.07,144879.9,3414822.8,Card,Deserunt maiores natus quos maiores labore nostrum.
Emir Anne,8198688669,singhaniruddh@example.net,"580, Basu Zila, Nagercoil 984065",Rajasthan,2024-05-11,18K,Premium,638.782,6314.7,4033716.7,3.61,145617.17,3888099.53,Cash,
Ehsaan Sridhar,06769706280,ebuch@example.com,"94, Suresh Road, Ongole-800904",Telangana,2024-05-11,18K,Standard,170.719,6717.36,1146780.98,0.34,3899.06,1142881.92,UPI,
Sara Wali,9405394828,johalbhamini@example.org,"H.No. 672, Shanker Chowk, Buxar-325726",Gujarat,2025-03-27,18K,Pure,95.519,5851.04,558885.49,2.68,14978.13,543907.36,UPI,Dolorum unde non ut deleniti officiis ab.
Akarsh Thaman,1925969639,smanne@example.org,"H.No. 894, Rana Road, Kulti-049505",West Bengal,2024-05-10,18K,Premium,983.174,5475.05,5382926.81,0.92,49522.93,5333403.88,UPI,Officia facere aperiam magni perspiciatis placeat.
Ishita Saran,4300572488,uchada@example.net,"24/797, Mangat Ganj, Dhule 309743",Telangana,2024-05-04,22K,Pure,743.599,6424.24,4777058.44,1.09,52069.94,4724988.5,Card,
Vivaan Kant,05935285305,priyanshgarde@example.com,"40/68, Mallick Street, Dehri 912921",Kerala,2023-06-17,24K,Premium,723.409,5167.82,3738447.5,3.94,147294.83,3591152.67,UPI,
Romil Sathe,00430828572,chanderuthkarsh@example.net,"97, Baral Path, Aizawl 073808",West Bengal,2024-02-19,22K,Pure,553.27,5600.21,3098428.19,0.33,10224.81,3088203.38,Card,
Kaira Varkey,03544386299,luthravidur@example.org,"14, Thakur Street, Parbhani-990682",Gujarat,2024-12-16,24K,Standard,721.445,5513.48,3977672.58,3.93,156322.53,3821350.05,Bank Transfer,
Stuvan Ahluwalia,9899595840,yasmin19@example.net,"80, Ganesan Nagar, Burhanpur 581150",Maharashtra,2024-04-16,24K,Standard,608.222,6836.86,4158328.66,4.95,205837.27,3952491.39,Bank Transfer,
Darshit Mallick,+911763676836,taranthaker@example.net,"H.No. 129, Ghose Circle, Jehanabad 687217",Telangana,2024-03-20,24K,Standard,138.323,6325.2,874920.64,0.2,1749.84,873170.8,Bank Transfer,
Divij Arora,9019616175,doshiyuvraj@example.com,"283, Bal Circle, Malegaon-632918",Delhi,2023-10-12,24K,Standard,19.193,5771.99,110781.8,4.23,4686.07,106095.73,Card,Ab dicta molestias.
Lagan Lal,05289195902,jayesh51@example.net,"33, Barman Zila, Jamshedpur 612762",Maharashtra,2023-10-24,18K,Pure,889.139,6380.82,5673435.91,0.75,42550.77,5630885.14,Card,Similique unde veniam voluptate nostrum quia.
Aayush Halder,03706554839,purabdhillon@example.org,"H.No. 063, Sunder Nagar, Jamshedpur-833759",Delhi,2024-09-14,22K,Pure,893.029,5395.73,4818543.37,2.31,111308.35,4707235.02,UPI,
Madhup Sachdev,+910685937749,alia99@example.org,"H.No. 828, Saxena, Unnao-168357",Rajasthan,2025-04-01,18K,Standard,891.797,6278.7,5599325.82,2.22,124305.03,5475020.79,UPI,
Shayak Amble,0590118647,armaandara@example.org,"81/07, Ray Circle, New Delhi 194224",Karnataka,2025-02-13,18K,Premium,836.088,5213.87,4359254.14,0.8,34874.03,4324380.11,Bank Transfer,
Armaan Chawla,06583181990,khushisura@example.com,"10, Saraf, Ichalkaranji 572021",Rajasthan,2025-02-15,24K,Standard,661.948,5018.18,3321774.21,3.73,123902.18,3197872.03,Cash,Recusandae quam dolores.
Jayant Rau,03509478770,oorja62@example.net,"07/614, Kapoor Path, Solapur-740185",Tamil Nadu,2024-12-26,24K,Standard,917.809,5532.64,5077906.79,3.27,166047.55,4911859.24,UPI,
Kavya Vohra,+910302501842,reyanshsarna@example.net,"93, Seth Nagar, Sri Ganganagar-020442",Delhi,2023-10-17,22K,Standard,899.903,5259.46,4733003.83,0.11,5206.3,4727797.53,UPI,Doloremque nesciunt esse tempora ut quam sed.
Krish Varughese,3630334310,faiyaz25@example.com,"H.No. 258, Bora Circle, Thrissur-930542",Telangana,2024-08-13,18K,Pure,138.156,6311.12,871919.09,1.84,16043.31,855875.78,Cash,
Pranay Chad,03874288368,dhanush55@example.org,"503, Ahluwalia, Kavali-580028",West Bengal,2024-05-24,24K,Pure,531.735,5745.03,3054833.53,4.2,128303.01,2926530.52,UPI,
Siya Deol,00933961760,divitbarman@example.org,"H.No. 144, Lad Path, Thanjavur 123909",West Bengal,2024-08-07,22K,Premium,984.427,6121.6,6026268.32,1.75,105459.7,5920808.62,Cash,
Kartik Rastogi,00278594017,madhup20@example.com,"H.No. 417, Mangal Road, Farrukhabad 441810",Maharashtra,2025-02-07,18K,Premium,806.569,6836.92,5514447.73,0.6,33086.69,5481361.04,Card,
Ranbir Loke,8013073361,onkar05@example.com,"22/50, Wason Circle, Shimla 368769",Rajasthan,2023-08-15,18K,Pure,631.15,6543.0,4129614.45,1.99,82179.33,4047435.12,Card,Illum eveniet nostrum ratione sint ratione veniam.
Kavya Gupta,05597215394,idin@example.com,"600, Bal Path, Mysore 615454",Rajasthan,2024-07-08,22K,Premium,3.625,5386.43,19525.81,2.5,488.15,19037.66,Card,
Aayush Rajan,+918436724518,yshere@example.net,"745, Batra Ganj, Ratlam 345886",Tamil Nadu,2025-02-05,24K,Pure,715.799,5968.29,4272096.01,0.91,38876.07,4233219.94,Bank Transfer,Magnam harum temporibus deserunt.
Taimur Vala,09767502726,krish71@example.com,"58/75, Rout Marg, Vadodara 332289",Gujarat,2023-08-24,24K,Premium,213.887,5058.72,1081994.44,2.09,22613.68,1059380.76,UPI,
Himmat Lala,9137397848,hunarbhardwaj@example.net,"H.No. 03, Bhandari Ganj, Aligarh 623707",Telangana,2025-05-04,18K,Pure,693.411,6031.8,4182516.47,0.12,5019.02,4177497.45,Cash,Quo saepe nemo reprehenderit excepturi.
Anahita Sunder,+919360996495,ranbirkota@example.org,"91, Agate Zila, Aizawl-535783",Kerala,2024-10-28,24K,Premium,723.375,5385.29,3895584.15,1.28,49863.48,3845720.67,UPI,
Anika Dhaliwal,+917013081896,lakshitsamra@example.org,"67/35, Sodhi, Kanpur 347299",Maharashtra,2023-08-12,24K,Premium,875.191,6430.09,5627556.9,3.02,169952.22,5457604.68,UPI,
Advik Dara,8862914159,ckapur@example.com,"H.No. 475, Chahal Street, Guwahati 071328",Delhi,2024-03-06,24K,Pure,503.896,5055.25,2547320.25,1.77,45087.57,2502232.68,Cash,
Kiara Krishna,+911301367946,adah92@example.net,"04, Bath Ganj, Mau 343505",Gujarat,2023-06-08,18K,Pure,880.613,6810.87,5997740.66,1.72,103161.14,5894579.52,Cash,
Yakshit Tiwari,08174100486,barmansamar@example.net,"830, Kata Chowk, Begusarai 258400",West Bengal,2024-05-01,24K,Pure,147.066,5385.94,792088.65,0.81,6415.92,785672.73,Bank Transfer,
Inaaya  Ahluwalia,02233156425,balakrishnanmiraya@example.net,"41/117, Bedi Circle, Panvel-757964",Tamil Nadu,2025-01-11,24K,Pure,277.802,6897.44,1916122.63,2.82,54034.66,1862087.97,Cash,
Nitya Kapoor,06570850413,deshmukhjivika@example.org,"H.No. 32, Buch Road, Thanjavur-697730",Telangana,2024-01-02,24K,Standard,528.646,6528.59,3451312.99,2.9,100088.08,3351224.91,Bank Transfer,
Vritika Biswas,09052626225,chanaranbir@example.com,"01/905, Randhawa, Haridwar-612611",Kerala,2023-10-12,24K,Standard,581.818,5906.69,3436618.56,4.85,166676.0,3269942.56,Card,
Elakshi Badami,06284105841,khushi52@example.com,"49, Hegde Street, Madhyamgram 201805",Gujarat,2024-10-26,24K,Standard,421.973,5613.7,2368829.83,2.08,49271.66,2319558.17,Card,
Aradhya Dhaliwal,04222093669,ramaindrajit@example.com,"H.No. 892, Solanki Marg, Bharatpur 254889",Andhra Pradesh,2023-06-25,18K,Pure,379.755,5939.0,2255364.94,0.33,7442.7,2247922.24,UPI,
Armaan Barad,+914460133176,rhea82@example.com,"65, Sehgal Chowk, Nagaon-672669",Maharashtra,2024-10-29,24K,Pure,879.86,6813.31,5994758.94,0.63,37766.98,5956991.96,Card,
Nirvi Vohra,+912137060694,aarav43@example.net,"55, Dubey Road, Gopalpur-739869",Gujarat,2024-12-19,24K,Premium,682.599,5178.89,3535105.14,2.79,98629.43,3436475.71,Bank Transfer,Odio magnam corrupti impedit hic nam.
Ojas Mallick,0841677261,piyaloyal@example.org,"H.No. 911, Ray Chowk, Nagaon 184404",Karnataka,2024-01-12,18K,Standard,449.67,5113.07,2299194.19,2.82,64837.28,2234356.91,Cash,Nihil corrupti perferendis alias.
Miraan Zachariah,+911874835153,qkala@example.net,"322, Bhakta Zila, Howrah 969709",Telangana,2024-07-18,18K,Standard,333.528,6868.43,2290813.72,3.96,90716.22,2200097.5,Bank Transfer,
Biju Uppal,09135406422,navya40@example.net,"767, Mann Circle, Mathura-117488",Rajasthan,2024-12-12,22K,Premium,959.508,6889.41,6610444.01,2.46,162616.92,6447827.09,Bank Transfer,Vel deleniti quis.
Madhav Maharaj,+917047107638,rattaela@example.org,"H.No. 731, Lad Ganj, Ghaziabad 279351",Karnataka,2025-03-05,24K,Pure,924.313,6641.82,6139120.57,2.09,128307.62,6010812.95,Bank Transfer,
Indrajit Tripathi,+918804672935,anahisura@example.com,"98/47, Johal Road, Rampur 166146",West Bengal,2023-06-10,18K,Premium,314.738,5819.55,1831633.53,3.22,58978.6,1772654.93,Card,
